名稱,高度,等,TWD97緯度,TWD97經度,所在地
茄苳腳山,641.16 ,Ⅱ,25.04117725 ,121.68066383 ,汐止
新庄子,34.74 ,Ⅱ,23.81695953 ,120.41721367 ,二崙
飛沙,11.43 ,Ⅱ,23.64869350 ,120.17841089 ,四湖
丁火巧山,471.67 ,Ⅱ,25.17740131 ,121.66990125 ,萬里
劍潭山,152.26 ,Ⅱ,25.08427306 ,121.52929889 ,台北中山 士林
五分山,756.79 ,Ⅱ,25.07095197 ,121.78065475 ,平溪 瑞芳
十八尖山,130.40 ,Ⅱ,24.79249797 ,120.98462414 ,新竹東區
松柏坑,430.85 ,Ⅱ,23.82002197 ,120.64204994 ,二水 名間
下員坑,31.35 ,Ⅱ,25.28618553 ,121.51092083 ,石門
八里觀音山,611.51 ,Ⅱ,25.13592922 ,121.42665083 ,八里
大片頭,27.43 ,Ⅱ,25.24584156 ,121.45707594 ,三芝
大元山,"1,489.75 ",Ⅱ,24.55974044 ,121.64606006 ,宜蘭大同 南澳
三腳南山,"1,187.20 ",Ⅱ,23.24059783 ,120.59246247 ,大埔 南化
六甲山,87.50 ,Ⅱ,23.22499000 ,120.36734317 ,六甲
大屯寮,5.27 ,Ⅱ,23.23419972 ,120.24392000 ,下營
竹子尖山,"1,109.65 ",Ⅱ,23.17586031 ,120.56551733 ,南化 楠西
善化,10.81 ,Ⅱ,23.12024936 ,120.29581117 ,善化
西港,6.00 ,Ⅱ,23.11903458 ,120.21146258 ,西港
永康,29.20 ,Ⅱ,23.01873617 ,120.24265578 ,永康
白沙崙,1.91 ,Ⅱ,22.91401331 ,120.18283606 ,茄萣
中洲,8.29 ,Ⅱ,22.56784036 ,120.30269433 ,旗津
紅毛埤,149.82 ,Ⅱ,23.47999928 ,120.49196628 ,嘉義東區
大貢占,823.16 ,Ⅱ,22.97784100 ,120.62292553 ,美濃 杉林 六龜
番子寮山,"1,206.58 ",Ⅱ,23.11306669 ,120.65616078 ,甲仙 桃源
大坑尾,472.90 ,Ⅱ,24.42179094 ,120.75043811 ,通霄 三義
龍肚,199.30 ,Ⅱ,22.86018372 ,120.57662617 ,美濃
龍船,351.65 ,Ⅱ,22.95211308 ,120.43217950 ,龍崎 內門
大城北,52.00 ,Ⅱ,23.56072752 ,119.61431699 ,湖西
